,D1,D1A,D1B,D2,D9,D9A2,D12,D14,D21,D22,D24A,D24B,D24C,D24D,D24E,D24F,D26A,D26B,D26C,D26E,D26G,D26H,D26I,D26J,D26K,D26L,D26M,D26N,D26O,D26P,D26Q,D26R,D26S,D26T,D26U,D26V,D26W,D26X,D26Y,D26Z,D26AA,D26BB,D26CC,D26DD,D26EE,D26FF,D26GG,D26HH,D26II,D29A,D29B,D37,D37B2,D37B3,D37B4,D38,D41,D46,D58,D72,D86,D87
YES,0.41111829347123463,0.29616461969403146,0.02208575737987503,0.03652230122818358,0.007326007326007326,0.00010773540185304891,0.27935789700495584,0.0394311570782159,0.2515621633268692,0.19500107735401853,0.23292393880629175,0.15190691661279895,0.2178409825468649,0.15061409179056237,0.18993751346692522,0.1687136393018746,0.16149536737772033,0.033828916181857356,0.03544494720965309,0.13402283990519284,0.1813186813186813,0.0392156862745098,0.10084033613445378,0.20458952811893988,0.01098901098901099,0.12885154061624648,0.0938375350140056,0.033828916181857356,0.026502908855850032,0.14016375781081664,0.039000215470803706,0.19015298427063132,0.15513897866839044,0.18961430726136608,0.14792070674423616,0.10277957336780866,0.12766645119586295,0.1480284421460892,0.15955613014436543,0.09135962077138547,0.14608920491273433,0.10773540185304892,0.08004740357681533,0.026502908855850032,0.021870286576168928,0.1400560224089636,0.19198448610213317,0.2028657616892911,0.16989872872225814,0.0634561516914458,0.01001939237233355,0.21094591682826977,0.0006464124111182935,0.0009696186166774402,0.0020469726352079294,0.10353372118078001,0.01088127558715794,0.003555268261150614,0.023917259211376857,0.15406162464985995,0.05763843999138117,0.03059685412626589
NO,0.08155569920275803,0.1140917905623788,0.060008618832148246,0.07250592544710192,0.01712992889463478,0.00010773540185304891,0.32234432234432236,0.16289592760180996,0.031027795733678087,0.05591467356173239,0.017991812109459167,0.08090928679163974,0.033182503770739065,0.06647274294333118,0.06097823744882568,0.08166343460461108,0.08101702219349279,0.048265460030165915,0.047080370609782374,0.07261366084895497,0.062055591467356175,0.025317819435466495,0.10428786899375135,0.04018530489118725,0.030058177117000647,0.11172161172161173,0.03145873734109028,0.08306399482870071,0.006356388709329886,0.10256410256410256,0.06614953673777203,0.0546218487394958,0.08748114630467571,0.05526826115061409,0.09739280327515622,0.04481792717086835,0.11764705882352941,0.09782374488256841,0.08608058608058608,0.15427709545356605,0.0999784529196294,0.13768584356819652,0.16612798965740141,0.05332902391725921,0.058177117000646414,0.10590390002154708,0.05343675931911226,0.04244774833010127,0.07616892911010557,0.18207282913165265,0.052898082309847015,0.033182503770739065,0.004740357681534152,0.003878474466709761,0.0016160310277957336,0.14264167205343675,0.013897866839043309,0.007326007326007326,0.08931264813617755,0.0786468433527257,0.09642318465847878,0.12357250592544711
NaN,0.5073260073260073,0.5897435897435896,0.9179056237879767,0.8909717733247146,0.9755440637793579,0.9997845291962939,0.3982977806507218,0.7976729153199742,0.7174100409394527,0.7490842490842491,0.749084249084249,0.7671837965955612,0.748976513682396,0.7829131652661064,0.7490842490842491,0.7496229260935142,0.7574876104287869,0.9179056237879767,0.9174746821805646,0.7933634992458523,0.7566257272139625,0.9354664942900237,0.7948717948717949,0.755225166989873,0.9589528118939884,0.7594268476621417,0.8747037276449041,0.8831070889894419,0.9671407024348201,0.7572721396250809,0.8948502477914243,0.7552251669898729,0.7573798750269338,0.7551174315880198,0.7546864899806076,0.8524024994613231,0.7546864899806076,0.7541478129713424,0.7543632837750485,0.7543632837750485,0.7539323421676363,0.7545787545787546,0.7538246067657833,0.9201680672268907,0.9199525964231846,0.7540400775694894,0.7545787545787546,0.7546864899806077,0.7539323421676363,0.7544710191769015,0.9370825253178194,0.7558715794009911,0.9946132299073476,0.9951519069166128,0.9963369963369964,0.7538246067657832,0.9752208575737988,0.9891187244128421,0.8867700926524456,0.7672915319974143,0.84593837535014,0.845830639948287
