,G3,G9A,G9B,G9C,G9D,G9E,G9F,G10A,G10B,G10C,G10D,G10E,G13A,G13B,G13C,G13D,G13E,G13F,G13G,G13H,G13I,G13J,G13K,G13L,G13M,G13N,G13O,G18A,G18B,G26,AG26B2,AG26B3,G27,G44,G56,G58,G59
YES,0.21633268692092222,0.17657832363714718,0.13682396035337213,0.1605257487610429,0.1570782159017453,0.10471881060116355,0.15244559362206422,0.10127127774186598,0.0691661279896574,0.0649644473173885,0.06614953673777203,0.15567765567765568,0.0008618832148243913,0.0007541478129713424,0.00010773540185304891,0.0008618832148243913,0.0020469726352079294,0.00043094160741219563,0.0005386770092652446,0.00043094160741219563,0.0014005602240896359,0.00010773540185304891,0.0005386770092652446,0.00043094160741219563,0.00021547080370609782,0.0018315018315018315,0.0005386770092652446,0.0499892264598147,0.016052574876104286,0.1391941391941392,0.0015082956259426848,0.002585649644473174,0.07293686705451412,0.09857789269553975,0.07239819004524888,0.04093945270415859,0.013574660633484163
NO,0.1839043309631545,0.03285929756517992,0.07175177763413057,0.04848093083387201,0.05246714070243482,0.10234863176039646,0.056884292178409825,0.10687351863822452,0.1391941391941392,0.1446886446886447,0.1398405516052575,0.05375996552467141,0.012174100409394527,0.012281835811247576,0.012712777418659772,0.011958629605688428,0.010665804783451843,0.010234863176039647,0.011743158801982331,0.011419952596423184,0.01088127558715794,0.010773540185304891,0.011096746390864038,0.01088127558715794,0.011096746390864038,0.009372979961215255,0.0099116569704805,0.1195862960568843,0.03372118078000431,0.028334410687351864,0.005709976298211592,0.003447532859297565,0.09685412626589097,0.07110536522301228,0.02553329023917259,0.05742296918767507,0.0847877612583495
NaN,0.5997629821159233,0.7905623787976729,0.7914242620124974,0.7909933204050851,0.7904546433958198,0.7929325576384401,0.7906701141995259,0.7918552036199096,0.7916397328162035,0.7903469079939668,0.7940099116569705,0.7905623787976729,0.9869640163757811,0.9869640163757811,0.9871794871794872,0.9871794871794872,0.9872872225813403,0.9893341952165482,0.9877181641887525,0.9881491057961647,0.9877181641887525,0.9891187244128421,0.9883645765998708,0.9886877828054299,0.9886877828054299,0.988795518207283,0.9895496660202543,0.830424477483301,0.9502262443438915,0.832471450118509,0.9927817280758457,0.9939668174962293,0.830209006679595,0.830316742081448,0.9020685197155786,0.9016375781081664,0.9016375781081664
